,age,numberOfLand,address(original),address,size(original),size,owner_caretaker,crop,cropVariety,intercropping,intercropCrop,machines(original),machines,estimateMonthlyIncome,applyLoanAmount,yearsCultivating,notPayupLoan
0,35-44,4,,,,,Owner,Oil Palm,Presco and Nifor,Yes,Cassava at tender age of palms,Non,n,,10000000,7,No
1,65-Above,2,,,Option 1,4,Owner,Oil Palm,Tenera,Yes,Cassava and yam,Non,n,500000,5000000,22,
2,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
4,35-44,2,,,,,Inherited,Rice,Rice,Yes,Millet and groundnut,Hand Tiller,y,,200000,15,Yes
5,35-44,3,,,,,Owner,Rice,Rice,Yes,Sorghum and sesame,Hand Tiller,y,,200000,15,Yes
6,35-44,3,,,Option 1,4,Owner,Rice,Faro 44,Yes,Rice and maize,Hand Tiller,y,,150000,13,No
7,45-54,2,,,Option 1,4,Owner,sesame,Sesame,Yes,Sorghum and sesame,Hand Tiller,y,,250000,20,No
8,25-34,,,,Option 1,4,Owner,Rice,Rice,Yes,Rice and maize,Hand Tiller,y,30000,100000,8,No
9,35-44,1,,,Option 1,4,Owner,Rice,Rice,Yes,Millet and beans,Tractor;Hand Tiller,y,15000,1500000,12,No
10,55-64,,,,,,Owner,Oil Palm,,Yes,Cassava,Tractor,y,,,,No
11,45-54,1,Bardo taura local,majia,Option 1,4,Owner,Rice,Faro 44,Yes,Sesame and sorghum,Tractor;Hand Tiller,y,,200000,17,No
12,55-64,2,"Bardo in taura local govt, majia bus stop",majia,Option 1,4,Inherited,Rice,Faro 44,Yes,Sorghum and sesame,Tractor;Hand Tiller,y,,130000,12,No
13,35-44,2,"Wasai, Minjibir",wasai,Option 1,4,Owner,Tomato,Roma for tomato and farrow 44 gof rice,No,,Tractor,y,1500000,2000000,25,No
14,45-54,5,"Bardo taura local govt,  majia bus stop",majia,Option 1,4,Owner,Sorghum,Faro 44,Yes,Rice some time with maize,Tractor;Hand Tiller,y,,150000,32,No
15,45-54,3,"Bardo taura local, majia bus stop",majia,Option 1,4,Owner,Sorghum,Rice faro 44,Yes,Millet and sorghum,Tractor;Hand Tiller,y,5000,200000,28,No
